,23,LIVING HARDWIRED LIGHTING3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,24,LIVING PLUG-IN LIGHTING3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,25,LIVING HARDWIRED LIGHTING1_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,26,LIVING PLUG-IN LIGHTING1_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,27,LIVING HARDWIRED LIGHTING2_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,28,LIVING PLUG-IN LIGHTING2_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,29,LIVING HARDWIRED LIGHTING3_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,30,LIVING PLUG-IN LIGHTING3_FRONTROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,31,LIVING HARDWIRED LIGHTING1_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,32,LIVING PLUG-IN LIGHTING1_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,33,LIVING HARDWIRED LIGHTING2_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,34,LIVING PLUG-IN LIGHTING2_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812
,35,LIVING HARDWIRED LIGHTING3_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,481.174,0.401,70.512,0.000,0.600,0.200,0.200,0.000,General,33.079,481.174
,36,LIVING PLUG-IN LIGHTING3_BACKROW_TOPFLOOR,INTERIORLIGHTINGHE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,218.812,0.182,32.065,0.000,0.600,0.200,0.200,0.000,General,15.044,218.812


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Equipment Level {Btu/h},Equipment/Floor Area {Btu/h-ft2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {Btu/h},Nominal Maximum Equipment Level {Btu/h}
,1,DISHWASHER1_FRONTROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,2,REFRIGERATOR1_FRONTROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,3,CLOTHESWASHER1_FRONTROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,4,ELECTRIC_DRYER1_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,5,ELECTRIC_RANGE1_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,6,TELEVISION1_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,7,ELECTRIC_MELS1_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,8,IECC_ADJ1_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,9,DISHWASHER2_FRONTROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,10,REFRIGERATOR2_FRONTROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,11,CLOTHESWASHER2_FRONTROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,12,ELECTRIC_DRYER2_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,13,ELECTRIC_RANGE2_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,14,TELEVISION2_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,15,ELECTRIC_MELS2_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,16,IECC_ADJ2_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,17,DISHWASHER3_FRONTROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,18,REFRIGERATOR3_FRONTROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,19,CLOTHESWASHER3_FRONTROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,20,ELECTRIC_DRYER3_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,21,ELECTRIC_RANGE3_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,22,TELEVISION3_FRONTROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,23,ELECTRIC_MELS3_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,24,IECC_ADJ3_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,25,DISHWASHER1_BACKROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,26,REFRIGERATOR1_BACKROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,27,CLOTHESWASHER1_BACKROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,28,ELECTRIC_DRYER1_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,29,ELECTRIC_RANGE1_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,30,TELEVISION1_BACKROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,31,ELECTRIC_MELS1_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,32,IECC_ADJ1_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,33,DISHWASHER2_BACKROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,34,REFRIGERATOR2_BACKROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,35,CLOTHESWASHER2_BACKROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,36,ELECTRIC_DRYER2_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,37,ELECTRIC_RANGE2_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,38,TELEVISION2_BACKROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,39,ELECTRIC_MELS2_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,40,IECC_ADJ2_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,41,DISHWASHER3_BACKROW_BOTTOMFLOOR,DISHWASHER,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,42,REFRIGERATOR3_BACKROW_BOTTOMFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,43,CLOTHESWASHER3_BACKROW_BOTTOMFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,44,ELECTRIC_DRYER3_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,45,ELECTRIC_RANGE3_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,46,TELEVISION3_BACKROW_BOTTOMFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,47,ELECTRIC_MELS3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,48,IECC_ADJ3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,49,DISHWASHER1_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,50,REFRIGERATOR1_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,51,CLOTHESWASHER1_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,52,ELECTRIC_DRYER1_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,53,ELECTRIC_RANGE1_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,54,TELEVISION1_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,55,ELECTRIC_MELS1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,56,IECC_ADJ1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,57,DISHWASHER2_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,58,REFRIGERATOR2_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,59,CLOTHESWASHER2_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,60,ELECTRIC_DRYER2_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,61,ELECTRIC_RANGE2_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,62,TELEVISION2_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,63,ELECTRIC_MELS2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,64,IECC_ADJ2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,65,DISHWASHER3_FRONTROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,66,REFRIGERATOR3_FRONTROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,67,CLOTHESWASHER3_FRONTROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,68,ELECTRIC_DRYER3_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,69,ELECTRIC_RANGE3_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,70,TELEVISION3_FRONTROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,71,ELECTRIC_MELS3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,72,IECC_ADJ3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,73,DISHWASHER1_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,74,REFRIGERATOR1_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,75,CLOTHESWASHER1_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,76,ELECTRIC_DRYER1_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,77,ELECTRIC_RANGE1_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,78,TELEVISION1_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,79,ELECTRIC_MELS1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,80,IECC_ADJ1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,81,DISHWASHER2_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,82,REFRIGERATOR2_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,83,CLOTHESWASHER2_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,84,ELECTRIC_DRYER2_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,85,ELECTRIC_RANGE2_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,86,TELEVISION2_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,87,ELECTRIC_MELS2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
,88,IECC_ADJ2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,99.736,0.083,14.616,6.244E-002,0.412,0.251,0.275,IECC_adj,51.566,99.736
,89,DISHWASHER3_BACKROW_MIDDLEFLOOR,DISHWASHER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,186.821,0.156,27.377,0.150,0.600,0.250,0.000,dishwasher,0.000,166.833
,90,REFRIGERATOR3_BACKROW_MIDDLEFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,91,CLOTHESWASHER3_BACKROW_MIDDLEFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,92,ELECTRIC_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,605.958,0.505,88.798,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,605.958
,93,ELECTRIC_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,705.353,0.588,103.363,0.300,0.400,0.300,0.000,electric_range,16.610,705.353
,94,TELEVISION3_BACKROW_MIDDLEFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,95,ELECTRIC_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1503.167,1.252,220.277,6.000E-002,0.690,0.250,0.000,electric_mels,777.172,1503.167
