,30,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],431.16520
,31,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,32,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,33,Fan:OnOff,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,34,Fan:OnOff,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,35,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,36,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],245.02116
,37,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,38,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,39,Fan:OnOff,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,40,Fan:OnOff,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,41,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,42,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [ft3/min],320.21182
,43,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,44,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,45,Fan:OnOff,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,46,Fan:OnOff,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,47,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,48,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],464.89401
,49,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,50,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,51,Fan:OnOff,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,52,Fan:OnOff,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,53,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,54,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],279.51268
,55,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,56,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,57,Fan:OnOff,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,58,Fan:OnOff,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,59,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,60,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_FRONTROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],376.73724
,61,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,62,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,63,Fan:OnOff,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,64,Fan:OnOff,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,65,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_BACKROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,66,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_BACKROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],426.71605
,67,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,68,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,69,Fan:OnOff,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,70,Fan:OnOff,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,71,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_BACKROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,72,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_BACKROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],273.02963
,73,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,74,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,75,Fan:OnOff,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,76,Fan:OnOff,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,77,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_BACKROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,78,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_BACKROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [ft3/min],351.58894
,79,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,80,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,81,Fan:OnOff,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,82,Fan:OnOff,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,83,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_BACKROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,84,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_BACKROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],354.53385
,85,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,86,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,87,Fan:OnOff,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,88,Fan:OnOff,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,89,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_FRONTROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,90,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_FRONTROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],378.89826
,91,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,92,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,93,Fan:OnOff,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,94,Fan:OnOff,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,95,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_FRONTROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,96,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_FRONTROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],476.71604
,97,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,98,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,99,Fan:OnOff,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,100,Fan:OnOff,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,101,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_BACKROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,102,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_BACKROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],299.19488
,103,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,104,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,105,Fan:OnOff,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,106,Fan:OnOff,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,107,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_FRONTROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,108,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_FRONTROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],300.76267
,109,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_TOPFLOOR,User-Specified Supply Air Flow Rate [ft3/min],44.99491
,110,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_TOPFLOOR,User-Specified Exhaust Air Flow Rate [ft3/min],44.99491
,111,Fan:OnOff,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,112,Fan:OnOff,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,User-Specified Maximum Flow Rate [ft3/min],44.99491
,113,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_BACKROW_TOPFLOOR,User-Specified Nominal Supply Air Flow Rate [ft3/min],44.99491
,114,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_BACKROW_TOPFLOOR,Design Size Maximum Air Flow Rate [ft3/min],453.24147
,115,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],459.70333
,116,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],459.70333
,117,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],459.70333
,118,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],459.70333
,119,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],459.70333
,120,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],459.70333
,121,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,122,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,123,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],250.31776
,124,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],250.31776
,125,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],250.31776
,126,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],250.31776
,127,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],250.31776
,128,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],250.31776
,129,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,130,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,131,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],347.47877
,132,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],347.47877
,133,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],347.47877
,134,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],347.47877
,135,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],347.47877
,136,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],347.47877
,137,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,138,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,139,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],431.16520
,140,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],431.16520
,141,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],431.16520
,142,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],431.16520
,143,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],431.16520
,144,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],431.16520
,145,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,146,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,147,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],245.02116
,148,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],245.02116
,149,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],245.02116
,150,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],245.02116
,151,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],245.02116
,152,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],245.02116
,153,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,154,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,155,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],320.21182
,156,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],320.21182
,157,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],320.21182
,158,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],320.21182
,159,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],320.21182
,160,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],320.21182
,161,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,User Heating Air Flow Ratio [],1.00000
,162,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,163,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],464.89401
,164,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],464.89401
,165,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],464.89401
,166,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],464.89401
,167,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],464.89401
,168,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],464.89401
,169,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,User Heating Air Flow Ratio [],1.00000
,170,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,171,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],279.51268
,172,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],279.51268
,173,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],279.51268
,174,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],279.51268
,175,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],279.51268
,176,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],279.51268
,177,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,User Heating Air Flow Ratio [],1.00000
,178,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,179,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],376.73724
,180,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],376.73724
,181,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],376.73724
,182,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],376.73724
,183,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],376.73724
,184,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],376.73724
,185,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,User Heating Air Flow Ratio [],1.00000
,186,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,187,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],426.71605
,188,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],426.71605
,189,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],426.71605
,190,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],426.71605
,191,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],426.71605
,192,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Adjusted Main Design Air Flow Rate [ft3/min],426.71605
,193,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,User Heating Air Flow Ratio [],1.00000
,194,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Calculated Heating Air Flow Ratio [],1.00000
,195,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],273.02963
,196,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],273.02963
,197,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Sum of Air Terminal Maximum Flow Rates [ft3/min],273.02963
,198,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Adjusted Heating Design Air Flow Rate [ft3/min],273.02963
,199,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Adjusted Cooling Design Air Flow Rate [ft3/min],273.02963
