
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  3.31E-006  4.748E-006 4.535E-009 6.505E-009
sx2822866b              0.1223      1.019          0          0         0         0
sx3178972c              0.1198     0.9978          0          0         0         0
sx3104123c              0.1226      1.021          0          0         0         0
sx2973153a               0.123      1.025          0          0         0         0
sx3216123a              0.1216      1.012          0          0         0         0
sx2972930a              0.1212       1.01          0          0         0         0
sx3029506b              0.1222      1.018          0          0         0         0
sx2785521c              0.1206      1.004          0          0         0         0
sx3197661c              0.1231      1.025          0          0         0         0
sx3216345b               0.122      1.016          0          0         0         0
sx2879070b              0.1232      1.026          0          0         0         0
sx2973160b              0.1233      1.027          0          0         0         0
sx3066815c              0.1225       1.02          0          0         0         0
sx2897777c              0.1221      1.017          0          0         0         0
sx2991914c              0.1212      1.009          0          0         0         0
sx2822869a              0.1201          1          0          0         0         0
sx2729410c              0.1215      1.012          0          0         0         0
sx3197640c              0.1212      1.009          0          0         0         0
sx2954353a              0.1243      1.035          0          0         0         0
sx3160109b              0.1221      1.017          0          0         0         0
sx3104136b              0.1216      1.012          0          0         0         0
sx2822872b              0.1222      1.017          0          0         0         0
sx3122821b              0.1225       1.02          0          0         0         0
sx2860482a               0.121      1.007          0          0         0         0
sx3010560b              0.1214      1.011          0          0         0         0
sx3104119a                0.12      0.999          0          0         0         0
sx2785517c              0.1216      1.012          0          0         0         0
sx3066809c              0.1204      1.003          0          0         0         0
sx2954344c              0.1218      1.014          0          0         0         0
sx2897767c              0.1203      1.002          0          0         0         0
sx3254208c              0.1188     0.9894          0          0         0         0
sx2748125c              0.1201          1          0          0         0         0
sx2673303c              0.1203      1.002          0          0         0         0
sx3104117c              0.1183     0.9848          0          0         0         0
sx3010568a              0.1252      1.042          0          0         0         0
sx3029505c               0.124      1.033          0          0         0         0
sx2673318c              0.1224      1.019          0          0         0         0
sx3178979c               0.123      1.024          0          0         0         0
sx3104129a              0.1256      1.046          0          0         0         0
sx3141401a              0.1245      1.037          0          0         0         0
sx2841632b              0.1177     0.9803          0          0         0         0
sx2748157a              0.1168      0.973          0          0         0         0
sx2785537a              0.1177     0.9797          0          0         0         0
sx2691967b              0.1201          1          0          0         0         0
sx2916620a               0.119     0.9906          0          0         0         0
sx2916620b              0.1202      1.001          0          0         0         0
sx2916620c              0.1246      1.038          0          0         0         0
sx2766738c              0.1246      1.037          0          0         0         0
sx3066814b              0.1218      1.015          0          0         0         0
sx2820535b              0.1207      1.005          0          0         0         0
sx2785534b              0.1193     0.9934          0          0         0         0
sx2691965b              0.1205      1.003          0          0         0         0
sx2748144a              0.1182     0.9841          0          0         0         0
sx2897792a              0.1178     0.9808          0          0         0         0
sx2785538a              0.1169     0.9736          0          0         0         0
sx2897793a              0.1188     0.9896          0          0         0         0
sx3254231a              0.1179     0.9818          0          0         0         0
sx3254230a              0.1185     0.9872          0          0         0         0
sx2673331b              0.1214      1.011          0          0         0         0
sx2935567b              0.1198     0.9972          0          0         0         0
sx2804272b              0.1207      1.005          0          0         0         0
sx3160115b              0.1173     0.9766          0          0         0         0
sx3254227b              0.1207      1.005          0          0         0         0
sx2860499b              0.1192     0.9928          0          0         0         0
sx3254229b              0.1188     0.9889          0          0         0         0
sx2822873b              0.1197     0.9971          0          0         0         0
sx3178988b              0.1206      1.005          0          0         0         0
sx2785536b              0.1201          1          0          0         0         0
sx3066826b               0.119     0.9909          0          0         0         0
sx3197653b              0.1188     0.9894          0          0         0         0
sx2785535b              0.1208      1.006          0          0         0         0
sx2916619b              0.1198     0.9975          0          0         0         0
sx2916617b              0.1177     0.9802          0          0         0         0
sx3122835b              0.1205      1.003          0          0         0         0
sx2691966b              0.1176     0.9797          0          0         0         0
sx3104145b              0.1201     0.9997          0          0         0         0
sx2973171b              0.1194     0.9945          0          0         0         0
sx2804270b              0.1187     0.9886          0          0         0         0
sx3235273b              0.1185     0.9868          0          0         0         0
sx2729423c              0.1247      1.038          0          0         0         0
sx2729424a               0.119     0.9909          0          0         0         0
sx3160114a              0.1199     0.9981          0          0         0         0
sx3104144a                0.12     0.9992          0          0         0         0
sx3197652a              0.1201          1          0          0         0         0
sx3141394b              0.1222      1.017          0          0         0         0
sx2804277c              0.1233      1.027          0          0         0         0
sx3197625c              0.1234      1.028          0          0         0         0
sx2785511a              0.1202      1.001          0          0         0         0
sx2973148a              0.1202      1.001          0          0         0         0
sx3160098a              0.1202      1.001          0          0         0         0
sx2916602a              0.1206      1.004          0          0         0         0
sx3231255c              0.1242      1.034          0          0         0         0
sx3118855c              0.1246      1.038          0          0         0         0
sx3085410b              0.1212      1.009          0          0         0         0
sx2992556c              0.1233      1.027          0          0         0         0
sx3198356c              0.1212      1.009          0          0         0         0
sx3048968c              0.1214      1.011          0          0         0         0
sx2767414c              0.1223      1.019          0          0         0         0
sx3045895c              0.1207      1.005          0          0         0         0
sx2692664c              0.1224       1.02          0          0         0         0
sx2991901b              0.1187     0.9882          0          0         0         0
sx2673322b              0.1208      1.006          0          0         0         0
sx2766730b              0.1198     0.9976          0          0         0         0
sx2689691a              0.1189     0.9901          0          0         0         0
sx2914323b              0.1203      1.001          0          0         0         0
sx3048222c              0.1194     0.9947          0          0         0         0
sx3122837c              0.1206      1.004          0          0         0         0
sx2991933c              0.1199     0.9987          0          0         0         0
sx2710525c               0.122      1.016          0          0         0         0
sx2673323c              0.1228      1.022          0          0         0         0
sx2710542b              0.1192     0.9923          0          0         0         0
sx2766742b              0.1202      1.001          0          0         0         0
sx3254234b              0.1191     0.9917          0          0         0         0
sx3104114b              0.1212      1.009          0          0         0         0
sx2822857b              0.1199     0.9985          0          0         0         0
sx2691939b              0.1203      1.002          0          0         0         0
sx2860478b               0.121      1.007          0          0         0         0
sx2822858b              0.1191      0.992          0          0         0         0
sx3254206b              0.1199     0.9985          0          0         0         0
sx2766715b              0.1196     0.9962          0          0         0         0
sx2860479b              0.1198     0.9975          0          0         0         0
sx3178969b               0.119     0.9909          0          0         0         0
sx2729401b              0.1193     0.9937          0          0         0         0
sx2804245b              0.1195     0.9952          0          0         0         0
sx3216338b              0.1181     0.9833          0          0         0         0
sx2691938b                0.12     0.9996          0          0         0         0
sx2673326b                0.12     0.9992          0          0         0         0
sx3251806b              0.1186     0.9879          0          0         0         0
sx3160108b              0.1198     0.9978          0          0         0         0
sx2841624b              0.1199     0.9986          0          0         0         0
sx2729409b              0.1203      1.002          0          0         0         0
sx3029510b              0.1201     0.9998          0          0         0         0
sx2991927b              0.1182      0.984          0          0         0         0
sx2954338b              0.1202      1.001          0          0         0         0
sx3197634b              0.1198     0.9975          0          0         0         0
sx2729408b              0.1225       1.02          0          0         0         0
sx2991909a                0.12     0.9994          0          0         0         0
sx3085398b              0.1208      1.006          0          0         0         0
sx2673314c              0.1216      1.012          0          0         0         0
sx3122817c              0.1219      1.015          0          0         0         0
sx3160102b              0.1203      1.002          0          0         0         0
sx2822871b              0.1221      1.016          0          0         0         0
sx2876813a              0.1212      1.009          0          0         0         0
sx2952013a              0.1206      1.005          0          0         0         0
sx2916598a               0.121      1.007          0          0         0         0
sx3048212a              0.1209      1.006          0          0         0         0
sx2691973a              0.1206      1.004          0          0         0         0
sx2954357a               0.121      1.008          0          0         0         0
sx2841639a              0.1197     0.9965          0          0         0         0
sx2804262a              0.1212      1.009          0          0         0         0
sx2973165a              0.1217      1.013          0          0         0         0
sx2785529c              0.1226      1.021          0          0         0         0
sx3197646b              0.1223      1.018          0          0         0         0
sx3141389a              0.1201          1          0          0         0         0
sx3197618a              0.1208      1.006          0          0         0         0
sx2691936a              0.1215      1.011          0          0         0         0
sx3216336a              0.1214      1.011          0          0         0         0
sx3216337a                0.12      0.999          0          0         0         0
sx2841615a              0.1211      1.009          0          0         0         0
sx2954348a              0.1204      1.003          0          0         0         0
sx3235249a              0.1212      1.009          0          0         0         0
sx2916599a              0.1204      1.003          0          0         0         0
sx3122816b              0.1216      1.013          0          0         0         0
sx3160103c              0.1206      1.004          0          0         0         0
sx2935556b               0.122      1.016          0          0         0         0
sx3104124b              0.1207      1.005          0          0         0         0
sx2970804c              0.1202      1.001          0          0         0         0
sx3176661c              0.1209      1.007          0          0         0         0
sx3048937c              0.1207      1.005          0          0         0         0
sx2804957c              0.1224      1.019          0          0         0         0
sx2767343c              0.1203      1.002          0          0         0         0
sx3179608c              0.1217      1.014          0          0         0         0
sx3086002c              0.1231      1.025          0          0         0         0
sx2842330c              0.1243      1.035          0          0         0         0
sx3235945c              0.1236      1.029          0          0         0         0
sx2955006c              0.1247      1.038          0          0         0         0
sx2692600c              0.1228      1.022          0          0         0         0
sx3235946a              0.1101     0.9166          0          0         0         0
sx3011229a               0.112     0.9328          0          0         0         0
sx2767342a              0.1117     0.9303          0          0         0         0
sx2748780a               0.112     0.9328          0          0         0         0
sx2823544a               0.112     0.9327          0          0         0         0
sx3195321a              0.1118      0.931          0          0         0         0
sx2823545a              0.1124     0.9358          0          0         0         0
sx3101782a              0.1118     0.9314          0          0         0         0
sx2936214a              0.1119     0.9318          0          0         0         0
sx3142049c              0.1231      1.025          0          0         0         0
sx2804956a              0.1123      0.935          0          0         0         0
sx2730106c              0.1242      1.034          0          0         0         0
sx2936212a              0.1131     0.9414          0          0         0         0
sx3029495b              0.1148     0.9559          0          0         0         0
sx2804247b              0.1138     0.9479          0          0         0         0
sx3104115b              0.1146     0.9542          0          0         0         0
sx2954339b              0.1138     0.9472          0          0         0         0
sx3048200b              0.1151     0.9581          0          0         0         0
sx3216339b              0.1136     0.9462          0          0         0         0
sx3048201b              0.1162     0.9679          0          0         0         0
sx3141390b               0.115     0.9576          0          0         0         0
sx2710537b              0.1156     0.9623          0          0         0         0
sx2673300b              0.1165     0.9702          0          0         0         0
sx3085388b              0.1161     0.9664          0          0         0         0
sx2822859b               0.116     0.9658          0          0         0         0
sx2991902b              0.1161     0.9667          0          0         0         0
sx2991918b              0.1142     0.9512          0          0         0         0
sx2897764b              0.1165     0.9702          0          0         0         0
sx2860488b              0.1138     0.9476          0          0         0         0
sx2804260b              0.1159      0.965          0          0         0         0
sx2973163b               0.116     0.9658          0          0         0         0
sx3104130b               0.116      0.966          0          0         0         0
sx2879079b              0.1159     0.9654          0          0         0         0
sx2991917b              0.1171     0.9755          0          0         0         0
sx2841636b              0.1166     0.9711          0          0         0         0
sx3085389b              0.1133     0.9439          0          0         0         0
sx2673319c                0.12      0.999          0          0         0         0
sx2841631c               0.121      1.007          0          0         0         0
sx3216350a              0.1176     0.9794          0          0         0         0
sx3141402c              0.1182      0.984          0          0         0         0
sx3197642c               0.119     0.9913          0          0         0         0
sx2691952a              0.1192      0.993          0          0         0         0
sx2879081a              0.1195     0.9951          0          0         0         0
sx2785530a              0.1196     0.9963          0          0         0         0
sx2766723a              0.1186     0.9872          0          0         0         0
sx3122822a              0.1197     0.9971          0          0         0         0
sx2766747a                0.12     0.9991          0          0         0         0
sx2858163a              0.1199      0.998          0          0         0         0
sx3216346a              0.1186     0.9878          0          0         0         0
sx3029500a               0.118     0.9827          0          0         0         0
sx3156034a              0.1196     0.9962          0          0         0         0
sx3066821a               0.118     0.9827          0          0         0         0
sx2748140a              0.1197     0.9965          0          0         0         0
sx3141412a              0.1196     0.9962          0          0         0         0
sx2991915b              0.1165     0.9701          0          0         0         0
sx2673320b               0.117     0.9739          0          0         0         0
sx2841634b              0.1164     0.9689          0          0         0         0
sx2766720a              0.1187     0.9886          0          0         0         0
sx3235254c              0.1224      1.019          0          0         0         0
sx2935566c              0.1226      1.021          0          0         0         0
sx3141393c               0.123      1.024          0          0         0         0
sx3030204a              0.1226      1.021          0          0         0         0
sx3160868b              0.1195     0.9948          0          0         0         0
sx2785524c               0.123      1.025          0          0         0         0
sx3235268c              0.1204      1.002          0          0         0         0
sx3122825a              0.1178     0.9806          0          0         0         0
sx2991920a              0.1185      0.987          0          0         0         0
sx2973146b              0.1182     0.9843          0          0         0         0
sx2935568b               0.117     0.9741          0          0         0         0
sx2814529a              0.1199     0.9986          0          0         0         0
sx2814529b              0.1227      1.021          0          0         0         0
sx2814529c              0.1193     0.9937          0          0         0         0
sx3122818c              0.1223      1.019          0          0         0         0
sx3048209b              0.1157     0.9637          0          0         0         0
sx2841628a              0.1143     0.9518          0          0         0         0
sx2673316a              0.1152     0.9595          0          0         0         0
sx2748143a              0.1198     0.9979          0          0         0         0
sx2860477a              0.1211      1.008          0          0         0         0
sx3066811b              0.1192     0.9928          0          0         0         0
sx2954352c              0.1216      1.013          0          0         0         0
sx3160864b              0.1192     0.9923          0          0         0         0
sx3085401a              0.1224      1.019          0          0         0         0
sx2766744b              0.1208      1.006          0          0         0         0
sx2804259a              0.1186     0.9875          0          0         0         0
sx2860486c              0.1225       1.02          0          0         0         0
sx2785522b              0.1218      1.015          0          0         0         0
sx2897766c              0.1198     0.9977          0          0         0         0
sx3048889c              0.1205      1.004          0          0         0         0
sx3048890c              0.1226      1.021          0          0         0         0
sx2991921c              0.1218      1.014          0          0         0         0
sx3011293a              0.1204      1.003          0          0         0         0
sx3011293b              0.1238      1.031          0          0         0         0
sx3011293c               0.121      1.007          0          0         0         0
sx3123509c              0.1246      1.038          0          0         0         0
sx2841620b              0.1183     0.9855          0          0         0         0
sx2991929b              0.1197     0.9965          0          0         0         0
sx3160793c              0.1238      1.031          0          0         0         0
sx2691946b              0.1231      1.025          0          0         0         0
sx2991940c              0.1209      1.007          0          0         0         0
sx3197636b              0.1173     0.9767          0          0         0         0
sx2991905a              0.1211      1.009          0          0         0         0
sx3141395c              0.1211      1.008          0          0         0         0
sx2748135a              0.1184      0.986          0          0         0         0
sx2729412a              0.1185     0.9866          0          0         0         0
sx2839305a              0.1197     0.9969          0          0         0         0
sx3160123a              0.1212      1.009          0          0         0         0
sx2822861a              0.1221      1.017          0          0         0         0
sx2841616a              0.1202      1.001          0          0         0         0
sx3122812b              0.1197     0.9971          0          0         0         0
sx2897771b              0.1188     0.9892          0          0         0         0
sx3178973a              0.1217      1.014          0          0         0         0
sx3141411c              0.1144     0.9529          0          0         0         0
sx2710518a              0.1196     0.9961          0          0         0         0
sx3085391b              0.1168     0.9724          0          0         0         0
sx2955076a              0.1176     0.9794          0          0         0         0
sx2729430b              0.1204      1.002          0          0         0         0
sx3142079b               0.118      0.983          0          0         0         0
sx2955055b               0.118     0.9826          0          0         0         0
sx2879753b               0.119     0.9912          0          0         0         0
sx2842390c              0.1218      1.015          0          0         0         0
sx2710511a              0.1215      1.012          0          0         0         0
sx2766719a              0.1216      1.013          0          0         0         0
sx3160117b               0.118     0.9827          0          0         0         0
sx2897790c              0.1245      1.036          0          0         0         0
sx3066817a              0.1174     0.9779          0          0         0         0
sx2841641b              0.1203      1.002          0          0         0         0
sx2674027b              0.1168      0.973          0          0         0         0
sx3010557a              0.1216      1.013          0          0         0         0
sx3235242c              0.1232      1.026          0          0         0         0
sx2973150a              0.1189       0.99          0          0         0         0
sx3066804a              0.1179     0.9817          0          0         0         0
sx2879067a              0.1225       1.02          0          0         0         0
sx2710530b              0.1192     0.9922          0          0         0         0
sx2748781a              0.1126     0.9376          0          0         0         0
sx3197654a               0.119     0.9906          0          0         0         0
sx2954361b              0.1199     0.9988          0          0         0         0
sx2935547b              0.1185     0.9871          0          0         0         0
sx3215385a               0.117     0.9744          0          0         0         0
sx3215385b              0.1176     0.9796          0          0         0         0
sx3215385c              0.1187     0.9886          0          0         0         0
sx2841622a              0.1219      1.015          0          0         0         0
sx2879062c               0.119     0.9909          0          0         0         0
sx2917255c              0.1232      1.026          0          0         0         0
sx3160862c               0.124      1.032          0          0         0         0
sx3067447a              0.1132     0.9425          0          0         0         0
sx3179637c              0.1204      1.003          0          0         0         0
sx2822867b              0.1197     0.9965          0          0         0         0
sx2766741a              0.1223      1.018          0          0         0         0
sx2897807b              0.1191     0.9921          0          0         0         0
sx2823611a               0.123      1.024          0          0         0         0
sx3141398a              0.1196     0.9958          0          0         0         0
sx3235251c              0.1232      1.026          0          0         0         0
sx2935551c               0.119     0.9913          0          0         0         0
sx3235252b              0.1172      0.976          0          0         0         0
sx2917328b              0.1194     0.9945          0          0         0         0
sx2989565a              0.1176     0.9789          0          0         0         0
sx2692655c              0.1229      1.023          0          0         0         0
sx2861219b              0.1201     0.9998          0          0         0         0
sx2674051a               0.119     0.9909          0          0         0         0
sx2804249c              0.1212      1.009          0          0         0         0
sx3030205c               0.123      1.024          0          0         0         0
sx3085395a              0.1206      1.004          0          0         0         0
sx2767409b              0.1179     0.9814          0          0         0         0
sx3217064b              0.1199     0.9984          0          0         0         0
sx2729405b              0.1212      1.009          0          0         0         0
sx3179699b              0.1235      1.029          0          0         0         0
sx2898526c              0.1219      1.015          0          0         0         0
sx2674052c              0.1217      1.013          0          0         0         0
sx2851933a              0.1187     0.9887          0          0         0         0
sx2851933b              0.1228      1.023          0          0         0         0
sx2851933c              0.1186     0.9877          0          0         0         0
sx2860492c              0.1219      1.015          0          0         0         0
sx3197645a              0.1208      1.006          0          0         0         0
sx3048211a              0.1194     0.9946          0          0         0         0
sx2804253a              0.1218      1.014          0          0         0         0
sx3178981b              0.1184     0.9856          0          0         0         0
sx2785525c              0.1231      1.025          0          0         0         0
sx2860483b               0.119     0.9911          0          0         0         0
sx3141397b               0.117     0.9743          0          0         0         0
sx3253995c              0.1235      1.029          0          0         0         0
sx2710536a              0.1212      1.009          0          0         0         0
sx3197638a              0.1193     0.9932          0          0         0         0
sx2935557a               0.119     0.9911          0          0         0         0
sx2673311a              0.1195     0.9949          0          0         0         0
sx2729413a              0.1212      1.009          0          0         0         0
sx3122848c              0.1231      1.025          0          0         0         0
sx2973169a              0.1192     0.9925          0          0         0         0
sx2822868a                0.12     0.9991          0          0         0         0
sx2860493a              0.1192     0.9922          0          0         0         0
sx3178976a              0.1197     0.9967          0          0         0         0
sx2673317a              0.1181     0.9838          0          0         0         0
sx2729428a              0.1189     0.9904          0          0         0         0
sx2973159a              0.1182     0.9842          0          0         0         0
sx3254216a              0.1168     0.9728          0          0         0         0
sx2973180b              0.1188     0.9892          0          0         0         0
sx3066816a              0.1183     0.9855          0          0         0         0
sx3216351a              0.1192     0.9922          0          0         0         0
sx2841635a               0.122      1.016          0          0         0         0
sx3254217c              0.1193     0.9933          0          0         0         0
sx2822870c              0.1202      1.001          0          0         0         0
sx2766725c              0.1203      1.002          0          0         0         0
sx2879078a              0.1196     0.9958          0          0         0         0
sx3048221a              0.1203      1.002          0          0         0         0
sx2879092c              0.1182     0.9841          0          0         0         0
sx2691954b               0.117      0.974          0          0         0         0
sx3104135a              0.1186     0.9879          0          0         0         0
sx2991943c              0.1215      1.011          0          0         0         0
sx3233353a              0.1209      1.007          0          0         0         0
sx3141403a              0.1196     0.9956          0          0         0         0
sx2785546a              0.1194     0.9939          0          0         0         0
sx2879087a              0.1212       1.01          0          0         0         0
sx2785531a              0.1212      1.009          0          0         0         0
sx3216358a                0.12     0.9992          0          0         0         0
sx2748139b              0.1189     0.9898          0          0         0         0
sx2935559a              0.1173     0.9771          0          0         0         0
sx3048231b              0.1153     0.9601          0          0         0         0
sx2691959b              0.1188     0.9895          0          0         0         0
sx2731712b              0.1197     0.9967          0          0         0         0
sx3010580b              0.1202      1.001          0          0         0         0
sx3216361b              0.1206      1.004          0          0         0         0
sx2879089c              0.1175     0.9788          0          0         0         0
sx3232301c              0.1207      1.005          0          0         0         0
sx2763811c              0.1169     0.9733          0          0         0         0
sx2970258c              0.1191     0.9921          0          0         0         0
sx2763812c                0.12     0.9996          0          0         0         0
sx3101194c              0.1137      0.947          0          0         0         0
sx2916625b              0.1182      0.984          0          0         0         0
sx2955047a              0.1111     0.9251          0          0         0         0
sx3066830b              0.1193     0.9938          0          0         0         0
sx2673343b              0.1172     0.9756          0          0         0         0
sx2766748a               0.121      1.007          0          0         0         0
sx2897801a              0.1204      1.003          0          0         0         0
sx2897805a              0.1222      1.018          0          0         0         0
sx3086098a              0.1203      1.002          0          0         0         0
sx3104155c              0.1203      1.002          0          0         0         0
sx2710543c              0.1195     0.9947          0          0         0         0
sx2861197c               0.123      1.024          0          0         0         0
sx2992657a              0.1181     0.9837          0          0         0         0
sx3254237a              0.1145     0.9539          0          0         0         0
sx2710544a              0.1192     0.9927          0          0         0         0
sx2917359a              0.1176      0.979          0          0         0         0
sx3122847a              0.1208      1.006          0          0         0         0
sx3029520b              0.1181     0.9837          0          0         0         0
sx3150961c               0.121      1.008          0          0         0         0
sx2684420b              0.1172     0.9756          0          0         0         0
sx2685809a              0.1235      1.028          0          0         0         0
sx3097861c               0.124      1.033          0          0         0         0
sx2798067b               0.117     0.9746          0          0         0         0
sx2929261a              0.1225       1.02          0          0         0         0
sx2891575c              0.1216      1.012          0          0         0         0
sx2685805a              0.1193     0.9936          0          0         0         0
sx3225319b              0.1139     0.9486          0          0         0         0
sx2925506c               0.121      1.007          0          0         0         0
sx2983432a              0.1231      1.025          0          0         0         0
sx2948732b              0.1207      1.005          0          0         0         0
sx2911069b              0.1186     0.9874          0          0         0         0
sx2724120c              0.1222      1.017          0          0         0         0
sx2858175a              0.1176     0.9797          0          0         0         0
sx3251807a              0.1186     0.9878          0          0         0         0
sx3231269b              0.1186     0.9874          0          0         0         0
sx3081380a              0.1179     0.9814          0          0         0         0
sx3139103a               0.119     0.9907          0          0         0         0
sx2876814a              0.1206      1.004          0          0         0         0
sx3120503a              0.1177       0.98          0          0         0         0
sx3120504a              0.1182     0.9847          0          0         0         0
sx2875754c              0.1194     0.9939          0          0         0         0
sx3195327a              0.1186     0.9879          0          0         0         0
sx2763407c              0.1228      1.023          0          0         0         0
sx2688692b              0.1165     0.9702          0          0         0         0
sx2688693c              0.1222      1.017          0          0         0         0
sx2913406b              0.1185     0.9865          0          0         0         0
sx2989571a              0.1179     0.9819          0          0         0         0
sx2764411c              0.1222      1.018          0          0         0         0
sx3119793b              0.1189     0.9899          0          0         0         0
sx3251808a              0.1191     0.9917          0          0         0         0
sx3027133a              0.1206      1.004          0          0         0         0
sx2857591a                0.12     0.9996          0          0         0         0
sx2726983a              0.1179      0.982          0          0         0         0
sx3157167a              0.1212      1.009          0          0         0         0
sx3082993a               0.117     0.9746          0          0         0         0
sx3120376a               0.122      1.016          0          0         0         0
sx2989432b              0.1192     0.9922          0          0         0         0
sx3120484c              0.1218      1.015          0          0         0         0
sx2820528c              0.1215      1.012          0          0         0         0
sx2745799c              0.1211      1.009          0          0         0         0
sx3270814a              0.1194     0.9946          0          0         0         0
sx2801895b              0.1149      0.957          0          0         0         0
sx2801896b              0.1201          1          0          0         0         0
sx3214055c              0.1227      1.022          0          0         0         0
sx3195310a               0.117     0.9746          0          0         0         0
sx3008232b              0.1217      1.013          0          0         0         0
sx2764399b              0.1201     0.9997          0          0         0         0
sx3027116a              0.1199     0.9982          0          0         0         0
sx2689678b              0.1195     0.9949          0          0         0         0
sx2951995c              0.1208      1.006          0          0         0         0
sx3139086b               0.117     0.9746          0          0         0         0
sx2933120c              0.1207      1.005          0          0         0         0
sx2726973a              0.1218      1.014          0          0         0         0
sx2820531b              0.1231      1.025          0          0         0         0
sx3157708c              0.1213       1.01          0          0         0         0
sx2858166a              0.1231      1.025          0          0         0         0
sx2764403a              0.1181     0.9832          0          0         0         0
sx2895449c              0.1213       1.01          0          0         0         0
sx3176656a              0.1229      1.023          0          0         0         0
sx2820533a              0.1182     0.9839          0          0         0         0
sx2876796a              0.1209      1.007          0          0         0         0
sx2876797a              0.1212       1.01          0          0         0         0
sx3157710b              0.1192     0.9922          0          0         0         0
sx2726974b              0.1206      1.004          0          0         0         0
sx2726975b              0.1178     0.9809          0          0         0         0
sx3195315a              0.1214      1.011          0          0         0         0
sx3143999a              0.1216      1.013          0          0         0         0
sx3125349c              0.1202      1.001          0          0         0         0
sx3181545c               0.121      1.008          0          0         0         0
sx3082981c              0.1208      1.006          0          0         0         0
sx2876798b              0.1216      1.013          0          0         0         0
sx3008237c              0.1243      1.035          0          0         0         0
sx2783231b              0.1187     0.9883          0          0         0         0
sx3176660b              0.1198     0.9975          0          0         0         0
sx3082983b              0.1182     0.9847          0          0         0         0
sx2801902b              0.1185     0.9868          0          0         0         0
sx3157718a              0.1212       1.01          0          0         0         0
sx2745806c               0.121      1.007          0          0         0         0
sx3195318b              0.1228      1.023          0          0         0         0
sx3214071c              0.1238      1.031          0          0         0         0
sx3214069c               0.122      1.016          0          0         0         0
sx3232902a              0.1116     0.9297          0          0         0         0
sx3027122a              0.1105     0.9202          0          0         0         0
sx3082988b              0.1182     0.9846          0          0         0         0
sx3027124c              0.1207      1.005          0          0         0         0
sx2801909c              0.1242      1.035          0          0         0         0
sx2914324a              0.1207      1.005          0          0         0         0
sx2820556a               0.119     0.9913          0          0         0         0
sx2933135a              0.1135     0.9453          0          0         0         0
sx3139366a              0.1218      1.014          0          0         0         0
sx2708744b              0.1184     0.9863          0          0         0         0
sx2690187b              0.1131     0.9418          0          0         0         0
sx3233412a              0.1108     0.9227          0          0         0         0
sx3027670b              0.1108     0.9228          0          0         0         0
sx2821087a              0.1097     0.9135          0          0         0         0
sx2990098a              0.1118     0.9314          0          0         0         0
sx3252336b              0.1166     0.9713          0          0         0         0
sx2802480b              0.1179     0.9818          0          0         0         0
sx3233413b              0.1136     0.9456          0          0         0         0
sx3027671a              0.1143     0.9521          0          0         0         0
sx3102286b              0.1165     0.9703          0          0         0         0
sx2802481a              0.1095     0.9122          0          0         0         0
sx3214549a              0.1147     0.9553          0          0         0         0
sx3139598b              0.1174     0.9775          0          0         0         0
sx3214112b              0.1178     0.9813          0          0         0         0
sx3251854a              0.1179     0.9815          0          0         0         0
sx2763072b              0.1168     0.9729          0          0         0         0
sx3172805a              0.1202      1.001          0          0         0         0
sx3226771a              0.1192     0.9929          0          0         0         0
sx3189190a              0.1185     0.9867          0          0         0         0
sx2896685a               0.114     0.9497          0          0         0         0
sx2896685b              0.1165     0.9699          0          0         0         0
sx2896685c              0.1229      1.024          0          0         0         0
sx2937757c              0.1216      1.012          0          0         0         0
